NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
38415514,1,1,1,1,0,1,0,66677281729191
3853883,1,1,1,1,0,1,0,163250426779123
3871557,1,1,1,1,0,1,0,274402454064106
38802376,1,1,1,1,0,1,0,98091036080778
39615740,1,1,1,1,0,1,0,123531867939370
39752291,1,1,1,1,0,1,0,174849482639503
39881020,1,1,1,1,0,1,0,149358389763518
40784206,0,1,1,1,1,0,1,157312545205033
40789487,1,1,1,1,0,1,0,96141925061796
40920817,1,0,1,1,0,1,0,100334707020649
4160691,0,0,1,1,0,0,1,37020554913375
4185060,1,1,1,1,0,1,0,179490891009483
42812530,0,0,1,1,0,0,1,163251676075993
4298536,1,1,1,1,0,1,0,117856659087092
45136564,1,1,1,1,0,1,0,260563103395400
45760269,1,1,1,1,0,1,0,228984435389262
45803691,1,1,1,1,0,1,0,161978061962936
45969827,1,1,1,1,0,1,0,273490715938357
46063958,1,1,1,1,0,1,0,218093108760362
46076639,0,0,1,1,0,0,1,106367925482962
46540162,0,0,1,1,0,0,1,11262106292612
4661596,1,1,1,1,0,1,0,132244312487836
46955510,1,0,1,1,0,1,0,10145862036236
46967140,1,1,1,1,0,1,0,13417027555339
47141382,1,0,1,1,0,1,0,250891429202254
47186410,1,1,1,1,0,1,0,98170609505292
47250204,1,1,1,1,0,1,0,193666546119941
47306734,1,1,1,1,0,1,0,249479127360198
47311856,1,1,1,1,0,1,0,20647166380710
47334217,1,0,1,1,0,1,0,276800840529678
47482141,1,1,1,1,0,1,0,86503898256110
47546775,1,1,1,1,0,1,0,277755539444379
47555731,1,1,1,1,0,1,0,184764474520000
47573450,1,1,1,1,0,1,0,167729092470379
47591678,1,1,1,1,0,1,0,99113164516646
47673776,0,1,1,1,1,0,1,19237002923919
47709544,1,1,1,1,0,1,0,143153124169055
47912551,0,1,1,1,1,0,1,271942195090179
47916083,1,1,1,1,0,1,0,263209156131672
47923442,0,0,1,1,0,0,1,36692249093924
47932962,1,1,1,1,0,1,0,66845372475403
4796943,1,1,1,1,0,1,0,115923465251736
47973588,1,1,1,1,0,1,0,212286602853756
47982959,1,1,1,1,0,1,0,70259942165255
48061526,1,1,1,1,0,1,0,54064952366106
48160287,0,1,1,1,1,0,1,224055904225334
48246144,0,0,1,1,0,0,1,154387856872446
48277714,1,1,1,1,0,1,0,242514089707775
48280900,1,0,1,1,0,1,0,120782020323462
48291999,1,1,1,1,0,1,0,203646779290173
48323135,1,1,1,1,0,1,0,46224008950519
48401872,1,1,1,1,0,1,0,225658669011031
48439527,1,1,1,1,0,1,0,7021186195158
48703768,1,1,1,1,0,1,0,117620679439120
48803283,1,1,1,1,0,1,0,225850083059641
48922033,1,1,1,1,0,1,0,25341070018623
48953673,0,0,1,1,0,0,1,207513469793974
49011749,0,0,1,1,0,0,1,92706586457924
49050175,0,0,1,1,0,0,1,117645816294821
49077661,1,1,1,1,0,1,0,150777748778395
49131125,1,1,1,1,0,1,0,25121152374271
49301715,1,1,1,1,0,1,0,264425623731968
49323410,1,1,1,1,0,1,0,12794460172449
49400620,1,1,1,1,0,1,0,186497428028763
49437393,1,1,1,1,0,1,0,36712342920200
49443675,1,1,1,1,0,1,0,117496963740579
49480502,1,0,1,1,0,1,0,49087230007923
49483409,1,1,1,1,0,1,0,229729178859799
49492361,1,1,1,1,0,1,0,141288513487527
49504842,0,0,1,1,0,0,1,152548099261969
49672719,1,1,1,1,0,1,0,92988929719206
49776070,1,1,1,1,0,1,0,186343460063190
49792283,0,1,1,1,1,0,1,15262132885446
49842189,1,1,1,1,0,1,0,144299131367545
49851064,1,1,1,1,0,1,0,175435332486116
49960259,0,1,1,1,1,0,1,277211049136548
50014659,1,1,1,1,0,1,0,15670090762499
50034078,1,1,1,1,0,1,0,176882338168280
5020639,1,1,1,1,0,1,0,207538684020277
50796677,0,1,1,1,1,0,1,186389763980730
5150593,0,0,1,1,0,0,1,238319778977421
5302167,1,1,1,1,0,1,0,208324830142787
5338031,1,1,1,1,0,1,0,160738043170915
5468575,1,1,1,1,0,1,0,38823162563472
6080324,1,1,1,1,0,1,0,222700311917033
6234254,1,1,1,1,0,1,0,220333664067763
6297694,1,1,1,1,0,1,0,106047067537743
6338601,1,1,1,1,0,1,0,132958870667483
6391855,1,1,1,1,0,1,0,192957800914591
6724748,1,1,1,1,0,1,0,88577140324429
6725597,1,1,1,1,0,1,0,146721177301959
6737138,1,1,1,1,0,1,0,52616548220007
6963662,1,1,1,1,0,1,0,191605358409200
7027265,1,1,1,1,0,1,0,23319640774050
7044712,1,1,1,1,0,1,0,203116575244245
7198372,1,1,1,1,0,1,0,87212049774518
7238641,1,1,1,1,0,1,0,116419759347300
7335611,1,1,1,1,0,1,0,61625825341849
7433514,1,1,1,1,0,1,0,208260635798891
7448852,1,1,1,1,0,1,0,104764030380889
7778221,0,1,1,1,1,0,1,149959963841196
7929129,1,1,1,1,0,1,0,84092066751959
8043610,1,1,1,1,0,1,0,98485309128745
8130305,1,1,1,1,0,1,0,255030353636398
8319208,1,1,1,1,0,1,0,162014321196548
8569890,1,1,1,1,0,1,0,107061361469883
8598941,1,0,1,1,0,1,0,256570484898431
8625919,0,1,1,1,1,0,1,19469490816258
8774129,1,1,1,1,0,1,0,179705598781115
9298591,0,1,1,1,1,0,1,189811014591814
9339525,1,1,1,1,0,1,0,56673533056928
9465158,1,1,1,1,0,1,0,234609228389277
9700006,1,0,1,1,0,1,0,157939507852313
9815092,1,1,1,1,0,1,0,137130162128196
10078076,1,1,1,1,0,1,0,168182777579448
10146116,1,1,1,1,0,1,0,63894167238907
1016475,1,1,1,1,0,1,0,78385531134353
10288426,1,1,1,1,0,1,0,141552071580842
10565009,1,1,1,1,0,1,0,13735096226018
10661698,0,0,1,1,0,0,1,45366899850550
10691752,1,1,1,1,0,1,0,143808309555718
10810203,1,1,1,1,0,1,0,269809271791967
11074852,0,1,1,1,1,0,1,31963546933751
11227363,1,1,1,1,0,1,0,53515150905745
11304447,1,1,1,1,0,1,0,46004146081527
11348495,1,1,1,1,0,1,0,53359845201571
11579897,1,1,1,1,0,1,0,186785100089940
11847816,1,1,1,1,0,1,0,221333893222345
11981233,0,1,1,1,1,0,1,217080789319748
12078056,1,1,1,1,0,1,0,67103419971932
12174203,1,1,1,1,0,1,0,240017676205150
12187542,1,1,1,1,0,1,0,147229919136341
12442274,1,1,1,1,0,1,0,73291593730382
12690527,0,1,1,1,1,0,1,112496405506404
12823478,1,1,1,1,0,1,0,184330154945349
13622618,1,1,1,1,0,1,0,138301245847047
13956922,1,1,1,1,0,1,0,207099240708644
14012359,1,1,1,1,0,1,0,66288966537367
14168618,1,1,1,1,0,1,0,113130711819416
14320391,0,1,1,1,1,0,1,122060661628014
15334479,1,1,1,1,0,1,0,59407030745877
15503736,1,1,1,1,0,1,0,238630586891480
15521184,1,1,1,1,0,1,0,239976204368516
15662634,1,1,1,1,0,1,0,232113775136256
16160168,1,1,1,1,0,1,0,212762349555844
16168835,1,1,1,1,0,1,0,260573556122954
16348298,0,1,1,1,1,0,1,265238276396372
16729937,0,0,1,1,0,0,1,108331176047004
